id;fecha_inicio;fecha_fin;lenguaje
1;2025-04-11T09:54:25;2025-04-11T02:14:50;INGLES
2;2025-04-11T15:46:34;2025-04-11T02:34:12;PORTUGUES
3;2025-04-11T13:54:03;2025-04-11T16:00:41;INGLES
4;2025-04-10T22:35:30;2025-04-11T14:19:17;INGLES
5;2025-04-10T18:44:44;2025-04-10T19:41:19;PORTUGUES
6;2025-04-10T18:42:25;2025-04-10T18:59:24;ESPANOL
7;2025-04-11T03:19:30;2025-04-11T06:26:54;INGLES
8;2025-04-11T14:10:00;2025-04-11T02:08:01;PORTUGUES
9;2025-04-11T08:40:28;2025-04-11T00:39:31;PORTUGUES
10;2025-04-11T03:06:32;2025-04-11T00:40:26;PORTUGUES
